Project_ID,Duration_Days,Skills_Required,Complexity,Client_Budget_Min,Avg_Past_Bids,Num_Bidders,Client_History,Freelancer_Exp_Years,Freelancer_Success_Rate,Urgency,Location,Client_Budget_Max,Final_Bid
134,8,Mobile Dev,High,4642,2583.752523456679,31,New,7,0.98,Low,Other,6142,6129.8
135,27,Mobile Dev,Low,2827,1615.367781085039,39,New,13,0.88,Normal,Europe,5496,3881.04
136,19,Writing,Low,4820,3339.3270061872568,14,New,6,0.89,Normal,India,7783,5350.22
137,47,Web Dev,High,1963,5923.194654756421,7,New,7,0.99,Low,India,3226,4493.0
138,33,Graphic Design,High,2453,5134.421701418016,11,New,10,0.89,Low,Other,3187,5011.49
139,40,Graphic Design,Medium,2996,1726.424888775302,18,Repeat,10,0.91,Normal,Other,3674,5225.72
140,17,Web Dev,Low,4927,2306.3790918838895,9,Repeat,1,0.96,Normal,India,5162,4562.9
141,36,Web Dev,Medium,2601,5524.0064576123605,10,Repeat,12,0.9,Low,India,5073,6343.94
142,75,Data Science,High,1037,5405.025588275221,35,New,6,0.99,High,Europe,2772,2782.83
143,63,Writing,Medium,2180,1089.0890249246218,18,New,12,0.94,Normal,Other,3543,4217.43
144,32,Web Dev,Medium,1855,5001.236120764021,44,New,3,0.94,Normal,Other,1989,1441.36
145,70,Web Dev,High,3490,1891.006243006593,23,New,10,0.93,Normal,Europe,5596,7510.55
146,46,Data Science,Low,1316,3331.2484820118766,4,New,4,0.87,Normal,Other,3083,2013.93
147,49,Data Science,Medium,1303,179.82557734765902,42,New,1,0.97,Low,Europe,2314,1214.98
148,66,Mobile Dev,High,1990,5991.752616742508,41,Repeat,14,0.94,Low,India,3903,3851.47
149,61,Graphic Design,Medium,3131,4602.414347443424,30,New,13,0.86,Low,India,3804,4877.83
150,10,Writing,High,490,1564.1384004075385,40,Repeat,14,0.98,Low,India,2761,2029.33
151,32,Mobile Dev,High,2611,4150.200130713503,28,New,13,0.96,Low,USA,5458,5507.73
152,32,Web Dev,High,3077,1865.8480725173574,40,New,10,0.89,High,Europe,3868,5441.11
153,48,Data Science,Low,3846,673.3165118181968,41,New,8,0.89,High,India,6033,3215.95
154,88,Graphic Design,Low,198,2638.0632447477124,38,Repeat,14,0.93,High,India,2801,1789.59
155,34,Mobile Dev,High,2295,3740.2553452953243,4,Repeat,2,0.85,High,Europe,4804,6618.15
156,66,Graphic Design,Low,4765,675.198130534808,20,Repeat,3,0.97,Low,USA,6114,4136.24
157,79,Data Science,Medium,4922,3182.676846394315,35,Repeat,7,0.99,Low,Other,7377,5490.45
158,66,Mobile Dev,Low,1101,3161.9557598062333,15,New,2,0.92,High,India,2441,1532.31
159,5,Mobile Dev,Low,1670,3827.574657590163,22,Repeat,12,0.93,Low,USA,4111,2854.64
160,31,Graphic Design,Medium,4498,1581.1769854032127,3,Repeat,4,0.97,Low,India,7139,7233.04
161,66,Data Science,Medium,3729,270.7526769883181,11,New,12,0.89,Normal,India,6703,8653.93
162,81,Web Dev,Medium,1163,2050.4164143447892,43,New,7,0.92,Normal,Europe,3606,1946.47
163,7,Mobile Dev,High,738,2481.699976275326,18,New,12,0.87,High,USA,910,1662.28
164,74,Web Dev,Medium,2842,3869.085169880496,3,Repeat,3,0.96,Low,India,5122,4734.99
165,76,Data Science,Medium,1242,5591.50539431022,28,Repeat,2,0.97,Normal,Europe,1826,1437.71
166,31,Mobile Dev,Medium,2220,1339.8053082835795,2,Repeat,8,0.86,Low,India,2808,3636.2
167,13,Mobile Dev,High,651,4170.901728294788,37,New,2,0.98,Normal,Europe,3012,1851.82
168,66,Web Dev,Low,3375,719.7953198336286,34,New,10,0.91,High,Other,3897,3648.45
169,41,Writing,High,1076,1265.1372699956798,23,New,7,0.99,Low,India,3583,2621.34
170,55,Web Dev,Low,4291,3128.4368926821107,36,New,11,0.99,Low,Europe,6818,5117.6
171,48,Web Dev,Medium,3450,4294.00883808467,35,Repeat,3,0.97,Normal,India,5909,2954.99
172,28,Writing,High,3314,5172.625935254491,19,New,4,0.97,High,Europe,5796,6423.59
173,83,Data Science,High,3647,4501.835077081235,37,New,6,0.89,Normal,Other,4127,4532.72
174,63,Data Science,Low,3031,239.81380313403224,4,New,11,0.91,High,Europe,4655,5525.4
175,36,Mobile Dev,High,4169,4150.99825662824,45,New,3,0.89,High,USA,5255,4829.34
176,56,Graphic Design,High,4085,4974.247566646794,17,Repeat,1,0.9,High,Europe,4331,6706.53
177,66,Graphic Design,Low,4241,3224.3708427264573,12,New,12,0.93,Low,USA,6662,5516.54
178,62,Mobile Dev,High,445,5798.752342153494,11,New,8,0.98,Normal,Europe,1386,1631.05
179,56,Graphic Design,High,3042,175.22767129642375,43,Repeat,4,0.93,Low,Europe,3527,2492.36
180,16,Web Dev,Medium,1176,4939.149011152178,22,New,1,0.95,Low,Europe,1341,1047.18
181,43,Web Dev,Medium,1271,2108.6954317272875,26,Repeat,2,0.87,Low,Europe,3083,1718.34
182,6,Writing,Medium,3870,3955.1312231662905,36,New,6,0.99,High,USA,6512,4645.77
183,7,Writing,Medium,3261,4206.869082348223,7,New,1,0.94,High,Europe,5627,6204.95
184,60,Mobile Dev,Medium,332,1941.5567458069827,47,Repeat,9,0.97,High,Europe,2559,1445.33
185,85,Mobile Dev,High,3898,5973.233323909019,45,New,14,1.0,High,Europe,6333,8752.46
186,63,Mobile Dev,High,4246,754.0126642116833,9,Repeat,7,0.98,High,Europe,4767,8191.9
187,6,Web Dev,Medium,4860,1068.6201482366218,35,New,8,0.93,High,Europe,5459,6576.1
188,6,Graphic Design,Low,4007,5369.321475718713,42,Repeat,8,0.98,Low,Other,4388,3051.57
189,58,Mobile Dev,Medium,3799,847.2022772025002,47,Repeat,6,0.95,High,Other,5788,3626.61
190,5,Mobile Dev,High,550,2380.5246487639165,2,Repeat,8,0.96,Normal,Other,1912,2112.48
191,23,Web Dev,Low,1462,4438.8819395927785,4,Repeat,7,0.95,High,Other,3297,2842.58
192,6,Web Dev,Medium,450,4780.227385889069,39,New,1,0.89,Low,Europe,3081,1212.87
193,57,Web Dev,Low,2796,5734.814684354836,28,Repeat,3,0.9,Normal,India,5677,3230.58
194,48,Graphic Design,Medium,1408,4769.00693284407,14,New,9,0.93,Low,Other,1579,2237.86
195,36,Mobile Dev,High,4104,5090.514447100581,44,New,8,0.98,Low,USA,4865,4231.71
196,74,Data Science,Medium,3025,5703.849633312303,48,New,5,0.92,Normal,USA,5731,3279.43
197,36,Data Science,Low,4778,3389.072999803568,20,New,1,0.93,High,Europe,5134,4401.85
198,72,Mobile Dev,High,344,2159.0857415764845,20,Repeat,2,0.91,Low,Other,2054,1294.51
199,59,Mobile Dev,Medium,4745,4605.436896299043,7,Repeat,10,0.85,Low,India,6162,8548.73
200,79,Mobile Dev,Medium,4923,1106.7182805661066,48,New,14,0.95,Normal,India,6741,5485.77
201,60,Mobile Dev,Medium,4834,549.1552695237312,15,Repeat,10,0.93,High,Other,7627,10192.29
202,21,Graphic Design,Medium,4779,4744.185560968199,6,Repeat,9,1.0,Normal,USA,7522,9339.83
203,42,Data Science,High,2373,5711.427444667683,44,New,12,0.93,Normal,Other,3752,3603.72
204,28,Writing,High,540,2738.314628053296,46,New,10,0.93,Low,Other,2493,1698.33
205,73,Data Science,Medium,3645,1092.630702671493,46,New,8,0.89,High,India,5042,4391.91
206,74,Data Science,High,1567,3057.572710108146,37,Repeat,9,0.86,Low,India,2516,2753.34
207,15,Web Dev,Low,511,2450.9094339274566,10,New,2,0.96,High,Other,634,566.91
208,20,Mobile Dev,High,913,2328.9725475872,24,Repeat,3,0.97,Normal,USA,1508,1450.78
209,77,Mobile Dev,Low,4441,3824.2729138667114,33,New,3,0.98,High,USA,5426,3469.67
210,63,Mobile Dev,Low,4778,1172.203931055291,30,Repeat,1,0.91,Low,USA,6148,3251.63
211,74,Web Dev,High,1830,2375.8170598796746,46,Repeat,2,0.96,High,Other,2876,2076.04
212,84,Graphic Design,Medium,2074,5231.759508774373,29,Repeat,10,0.89,High,Other,2569,3204.53
213,7,Graphic Design,High,649,4418.540821060161,41,New,5,0.89,Low,Europe,1606,1187.51
214,24,Writing,Low,2037,475.19253071441653,12,New,7,1.0,Low,Other,2602,2596.96
215,63,Graphic Design,Low,303,3156.3372063805505,20,Repeat,6,0.98,Low,USA,1972,1128.98
216,40,Graphic Design,High,4546,684.077609755238,2,New,14,0.89,Normal,USA,4860,11634.25
217,23,Mobile Dev,Low,4514,5751.354109349095,10,Repeat,2,0.92,Low,India,6594,4683.59
218,71,Data Science,High,3688,1581.147749165581,3,Repeat,8,0.93,Normal,India,4618,6699.2
219,23,Graphic Design,High,2636,5605.8330004234695,5,Repeat,4,0.85,High,USA,4600,6942.42
220,24,Graphic Design,Medium,206,5028.949189675361,30,Repeat,11,0.99,High,USA,3160,2095.16
221,75,Web Dev,Low,3911,3375.481942979202,5,Repeat,2,0.87,Low,Other,4406,3621.93
222,56,Writing,High,2801,2117.381751131366,2,Repeat,4,0.97,Normal,India,5220,6518.57
223,37,Web Dev,Low,3997,5168.988082040305,29,Repeat,8,1.0,Normal,USA,6035,4078.77
224,44,Mobile Dev,High,2319,1043.7846504787672,19,Repeat,14,0.96,Normal,Other,3262,4948.17
225,43,Data Science,High,4036,1202.8485663093272,47,New,1,1.0,Low,Europe,5800,3659.28
226,86,Writing,Medium,4190,1464.627662595835,14,New,11,0.85,Low,USA,6356,7207.06
227,5,Web Dev,High,1057,3646.5268524001945,41,New,9,0.9,Normal,India,3000,2373.56
228,15,Graphic Design,Medium,2675,1988.8025636322081,7,Repeat,14,0.92,High,Europe,4436,6586.42
229,61,Graphic Design,Low,2467,5936.711420951626,44,New,8,0.97,High,Other,3819,2797.75
230,54,Writing,Medium,1160,1291.4112564650115,48,Repeat,14,0.95,Low,USA,2408,1389.91
231,27,Graphic Design,Medium,2646,4862.819070691801,40,Repeat,8,0.96,Low,India,5026,4050.66
232,35,Web Dev,Low,3836,710.6418782647542,23,New,10,0.87,Normal,India,5857,5032.76
233,46,Web Dev,Medium,3866,2217.6623894521886,31,Repeat,9,0.98,Normal,India,4170,4124.23
234,11,Graphic Design,Medium,1772,1576.0106262054148,28,New,14,0.97,Normal,India,2131,2218.01
235,20,Graphic Design,High,501,5864.490299486982,9,New,7,0.97,High,Europe,3136,3172.09
236,64,Mobile Dev,Medium,701,300.5238916981187,44,New,11,0.97,Normal,USA,1997,1311.89
237,6,Data Science,High,3099,4371.766725348274,29,Repeat,9,0.88,Normal,Other,4383,5150.7
238,5,Writing,Medium,4413,1599.1744335952533,3,New,1,0.87,Low,USA,5809,4704.47
239,52,Web Dev,Low,4381,4895.804676131722,21,Repeat,1,0.98,Low,USA,6201,3266.1
240,16,Writing,Low,3552,1970.6627375733258,12,Repeat,12,0.99,Normal,USA,5959,5625.54
241,73,Mobile Dev,Medium,3734,1245.6128333171769,15,Repeat,4,0.91,Low,India,4609,4240.36
242,41,Web Dev,High,387,4204.283130826087,25,Repeat,2,0.92,Normal,Europe,1626,1248.31
243,36,Mobile Dev,Medium,187,1656.8227338914505,14,Repeat,8,0.96,Normal,Other,1475,1038.81
244,13,Mobile Dev,High,2305,2990.449189373731,9,Repeat,1,0.92,Normal,Other,4052,5321.33
245,23,Graphic Design,Medium,3067,919.4705205371631,45,New,4,0.9,Low,India,5054,2857.47
246,52,Writing,Low,4350,4388.89836460256,22,New,11,0.88,Normal,Europe,5859,5925.13
247,84,Writing,Low,3634,2529.9917995651554,23,Repeat,11,0.85,Low,USA,5679,5303.44
248,7,Graphic Design,High,319,972.3915927079767,10,New,14,0.94,High,Other,715,1094.5
249,24,Writing,Medium,1582,4488.331023727244,43,Repeat,9,0.87,High,India,4126,2802.01
250,28,Graphic Design,High,3338,754.668823385657,44,New,2,0.98,Low,India,3589,2761.01
251,58,Web Dev,Low,421,3512.699471677452,12,New,6,1.0,High,USA,2257,1766.63
252,37,Mobile Dev,High,2838,3703.7882426868,17,New,4,0.92,High,Europe,5084,6321.89
253,28,Mobile Dev,Medium,1936,5592.55042719198,10,New,14,0.87,High,Europe,4529,6315.04
254,79,Writing,High,2659,1033.2359164896297,4,Repeat,12,0.94,Normal,Europe,3366,7046.63
255,76,Data Science,Medium,1668,3972.0762044220774,37,New,4,0.94,High,India,2856,2349.14
256,40,Mobile Dev,Medium,2422,2377.4962011623097,43,New,6,0.87,Normal,India,3960,3003.89
257,42,Graphic Design,Low,4820,2494.76393010391,14,Repeat,10,0.95,Low,India,7113,5609.44
258,88,Data Science,Medium,3063,3085.677314371278,2,Repeat,13,0.9,Low,Europe,3739,5408.08
259,29,Data Science,Medium,452,1517.6399804866808,45,New,4,0.98,High,India,3254,1485.76
260,22,Mobile Dev,Medium,1128,2847.9219478718796,12,New,9,0.94,Normal,Europe,2046,2044.67
261,86,Mobile Dev,High,4670,4168.050085144885,25,Repeat,12,0.91,Low,USA,5301,8279.86
262,70,Mobile Dev,Low,2109,2824.111281358487,6,New,12,0.99,Low,India,2558,3202.62
263,58,Graphic Design,High,1027,398.6742998868723,3,New,8,0.92,Normal,Other,3161,3266.13
264,39,Data Science,High,129,1658.2835481374184,18,Repeat,8,0.98,High,India,2481,2566.6
265,84,Writing,Low,2640,2206.042244605691,18,New,5,0.89,Low,Other,3504,2506.81
266,65,Graphic Design,High,3919,2225.118650804357,21,Repeat,6,0.92,High,Other,4139,6677.67
267,45,Web Dev,High,594,623.8903212380326,16,Repeat,1,0.86,High,USA,755,870.38
268,37,Mobile Dev,Medium,4583,2779.987726960989,5,New,1,0.91,Normal,Other,5717,6097.13
269,72,Data Science,High,972,4197.901761083117,12,Repeat,9,0.98,High,Other,1625,2424.53
270,37,Graphic Design,Low,934,434.7313055844464,24,New,12,0.97,Low,USA,2306,1676.41
271,18,Web Dev,High,3424,4542.906408383399,2,New,4,1.0,Normal,Europe,6217,8398.59
272,25,Graphic Design,Medium,729,5737.365437336232,43,New,3,0.96,High,Other,3106,1639.31
273,52,Graphic Design,High,3086,204.6282147738825,48,New,5,0.89,Normal,USA,3274,2652.0
274,24,Writing,Low,129,1283.100048203046,5,New,14,0.87,Normal,Other,1755,1357.1
275,12,Writing,Medium,3882,3329.4035267199597,39,Repeat,9,0.88,Normal,India,6202,4867.29
276,11,Graphic Design,High,906,1425.5894963179028,3,Repeat,9,0.95,High,Other,3027,4745.5
277,71,Web Dev,Low,2068,4623.062285315527,46,Repeat,3,0.91,Normal,USA,2608,1279.1
